"","SampleID","Achnanthidium","Actinoptychus","Amphiprora","Asterionella","Asterionellopsis","Attheya","Bacillaria","Bacterosira","Bellerochea","Chaetoceros","Corethron","Coscinodiscus","Craticula","Cylindrotheca","Eolimna","Eucampia","Fragilariopsis","Guinardia","Leptocylindrus","Licmophora","Lithodesmium","Melosira","Navicula","Nitzschia","Planktoniella","Pleurosira","Porosira","Proboscia","Psammoneis","Pseudo-nitzschia","Raphid-pennate_X","Rhizosolenia","Skeletonema","Stellarima","Stephanodiscus","Synedra","Thalassiosira","Toxarium","Unclassified Eukaryota"
"1","20ppt3C_1",0.000639027891109647,0,0.000137636776546693,0,0.000688183882733466,0,0.000314598346392442,0,0,0.129693168300284,0.00647875969601935,0.00227100681302044,0,0,9.83119832476381e-05,0.00102244462577544,0.29096414561971,0,0,0,0,0,0,0,0.0133311049283797,0,0.000757002271006813,0.000117974379897166,0,0,0.00041291032964008,0.514781206681282,0,0.0128100514171672,0,0.000235948759794331,0.021353362761387,0.00154349813698792,0.00234965639961855
"2","20ppt3C_2",0.00097829073921407,0,0.000120912338554548,0,0.000703489969771915,0,0.000417697169552075,0,0,0.118582028029678,0.0043748282495191,0.0023852706787579,0,0,0,0.000582577631217367,0.328815608683704,0,0,0,0,0,0,0,0.0150370981038747,0,0.000648529815883484,4.39681231107447e-05,0,0,0.000219840615553724,0.493784006595218,0,0.00857378400659522,0,0.000318768892552899,0.0211706512778236,0.00107721901621325,0.00216543006320418
"3","20ppt3C_3",0.000686011725849912,0,0.000714300869183929,7.77951441685467e-05,0.00227727603838837,0,0.00229849289588888,0,0,0.0431904495852104,0.244559644122577,0.00461820264927827,0,0,0.000671867154182903,0.00577805752597297,0.169904594864106,0,5.6578286668034e-05,0,0,0,0.00248237232755999,0,0.00786438184685672,0,0.0247530004172649,0.0018387943167111,0,0.00603265981597912,0.000289963719173674,0.402080666492217,0.000933541730022561,0.0196750991888088,0,0.000268746861673161,0.0311534190965862,0.00211461346421777,0.0256794698614539
"4","35ppt0C_1",0.000365740436825373,0,0.00040325227649977,0,0.00184745810396406,0,0.00158487522624328,0,0,0.0384402577063386,0.18465203079722,0.00602065026774076,0,0,0.00041263023641837,0.00750236793487945,0.115348906998771,0,4.68897995929965e-05,0,0,0,0.00202563934241745,0,0.00923729051982032,0,0.0271116821246706,0.00180056830437107,0,0.00700533605919368,0.000196937158290585,0.502246021400505,0.000919040072022732,0.027664981759868,9.37795991859931e-06,0,0.0383652340269898,0.00225071038046383,0.0245421211069744
"5","35ppt0C_2",0.000604310750016786,0,0.000520378701403344,0,0.00214026723964279,0,0.00188007788894111,0.000629490364600819,0,0.0408497280601625,0.227262808030618,0.00416302961122675,0,0,0.000260189350701672,0.00592560263210904,0.14785469683744,5.03592291680655e-05,8.39320486134426e-05,0,0,0,0.00156952930907138,0,0.00966057879540724,0,0.0284865372994024,0.00169542738199154,0,0.00682367555227288,0.000167864097226885,0.438041361713557,0.000436446652789901,0.0225189686429866,0,0.000176257302088229,0.0325152756328476,0.00258510709729403,0.0230980997784194
"6","35ppt0C_3",0.000752323709522153,0,0.000218416560829012,0,0.00111635131090384,0,0.000517728144187288,0,0,0.132198645817323,0.00752323709522153,0.00207091257674915,0,0,0.000121342533793896,0.000954561265845313,0.288350307805561,0.000121342533793896,0,0,0,0,0.000145611040552675,0,0.0124254754604949,0,0.00153700542805601,7.28055202763374e-05,0,0,0.000234595565334865,0.513335544463949,0.000145611040552675,0.013080725142982,0,0.000444922623910951,0.0203774561751215,0.00150464741904431,0.00275043076599497
"7","50ppt-3C_1",0.000937908792483566,0,0.00217199930890931,0,0.00363645338840119,0,0.00351304433675862,0.00187581758496713,0,0.0229705381457379,0.133413412095733,0.00257513554427505,0,0,0.000979045143031091,0.00484586209449842,0.180876533357467,0,0.000403136235365743,0,9.87272413140596e-05,0,0.0028137263774507,0,0.00719063407570734,0,0.0396060783071569,0.00208972660781426,0,0.00121763597620673,0.00151381770014891,0.511925428023727,0,0.0271088550108189,0,0.000625272528322377,0.0296181723942179,0.00166190856212,0.0163311311673674
"8","50ppt-3C_2",0.000616075958541712,0,0.000117779227368268,0,0.000860694353845039,0,0.000416757266072335,0,0,0.10860150757411,0.0108719286801479,0.00168514894542292,0,0,0,0.000833514532144669,0.293940711748931,0,0,0,0,0,0,0,0.015954555338117,0,0.00104189316518084,6.34195839675292e-05,0,0,0.000353337682104805,0.533123142712184,0.000353337682104805,0.0113521055301877,0,0.000271798217003696,0.0148583025295354,0.00235558454736537,0.002328404725665
"9","50ppt-3C_3",0.00116541061300598,0,0.0030041695801932,0,0.00365161992075208,0,0.00509327601239652,0,0,0.0168078108409085,0.113571422405235,0.0037552119752415,0,0,0.0010013898600644,0.00492925525945493,0.197032087638878,0,0.000164020752941583,0,0,0,0.00236535191084177,0,0.007778036757914,0,0.0504493305363479,0.00263296471827277,0,0.000785573079878107,0.00186465698080957,0.497241861549219,0,0.0377506711901864,0,0.000820103764707914,0.0274864251245263,0.00181286095356486,0.0188364885746597
"10","Ev32Core_A",0.00992536934558562,0,0.00304614915977052,0,0.00322384119409047,0.00098999847692542,0.012057673757425,0,0,0.0513022287658019,0.0128953647763619,0.00276691882012489,0,0,0.000634614408285526,0.000837691018936894,0.415951667766665,0,0.000126922881657105,0,0,0.000355384068639894,0.00890998629232878,0.0520129969030817,0.00918921663197441,0,0.00626999035386099,0.000406153221302736,0,0.00185307407219374,0.132456719297355,0.235670406660913,0,0.00715845052546073,0,0.000609229831954105,0.0220338122556735,0.000863075595268315,0.0084530639183632
