MassFeature_Column,Identification,nmolEnviromed,nmolEnviromin,nmolEnviromax,nmolCmed,nmolCmin,nmolCmax,molFractionmed,molFractionmin,molFractionmax
Proline_X_HILICPos,Proline,14.277423295831882,0.9988914830713796,160.21095379571938,71.3871164791594,4.994457415356898,801.0547689785969,0.11220920623367711,0.007716588756194591,0.2864013409879765
Glucosylglycerol_X_HILICPos,Glucosylglycerol,10.917902396022244,0.3571563521274319,80.25148424971361,98.2611215642002,3.214407169146887,722.2633582474225,0.08098336675129594,0.02791744538607046,0.2149427764877879
Glutamic acid_X_HILICPos,Glutamic acid,15.625521415759035,1.2689928170898823,65.7992748152573,78.12760707879518,6.344964085449412,328.99637407628654,0.06876105800245064,0.025949378819864307,0.10946447975542002
Alanine_X_HILICPos,Alanine,24.717589453485473,0.5810764370873411,227.76550094968727,74.1527683604564,1.7432293112620234,683.2965028490618,0.06343441346360702,0.011766106129389784,0.13494941934898527
Glutamine_X_HILICPos,Glutamine,9.773589983753986,0.3681385044898462,106.7477230276793,48.86794991876994,1.840692522449231,533.7386151383965,0.058538059109210984,0.015986597298954835,0.15464828724729235
Glycerophosphocholine_X_HILICPos,Glycerophosphocholine,4.275941328430612,0.044959986358149025,21.66661588589624,34.207530627444896,0.3596798908651922,173.3329270871699,0.038605978160267215,0.002427696540659574,0.05347661987608057
Taurine_X_HILICNeg,Taurine,13.459954940675296,0.13124920626825903,50.52516725526059,26.91990988135059,0.26249841253651807,101.05033451052118,0.032441552069144064,4.54629261747206e-4,0.053669777028282836
N-Acetyl-Serine_X_HILICPos,N-Acetyl-Serine,5.700706109704529,0.6169590210589155,47.775836402500495,28.503530548522647,3.0847951052945777,238.87918201250247,0.02829547769411817,0.006353961652873724,0.22856271140674264
Aspartic acid_X_HILICPos,Aspartic acid,6.137529521496528,0.9986722267356098,45.081256025768766,24.550118085986114,3.9946889069424394,180.32502410307507,0.02500519568565581,0.010563853441966588,0.0547988697834248
Isethionic Acid_X_HILICNeg,Isethionic Acid,8.524465737905068,0.17344099964345663,78.58941029733336,17.048931475810136,0.34688199928691327,157.17882059466672,0.023412254583975497,2.9030113214425677e-4,0.0759134036638222
DHPS_X_HILICNeg,DHPS,6.477348329807118,0.4029976535588078,54.313466395525104,19.432044989421353,1.2089929606764234,162.94039918657532,0.021292983081171887,0.007652004002310931,0.04028010839479206
Hypotaurine_X_HILICPos,Hypotaurine,7.569866268434297,0.992011917240302,95.87276025104691,15.139732536868594,1.984023834480604,191.74552050209383,0.018770460634589675,0.002487393458276042,0.22710008406984844
Betaine_X_HILICPos,Betaine,2.360542527332974,0.6503133061642299,81.58802557919921,11.802712636664868,3.251566530821149,407.94012789599606,0.017613633447995714,0.0048687846610972136,0.10712011323834754
Arginine_X_HILICPos,Arginine,1.9879907326021296,0.20492788777172014,90.55277763217269,11.927944395612776,1.2295673266303209,543.3166657930361,0.016350359939717958,0.005029288343705096,0.1808660292293445
Phenylalanine_X_RP,Phenylalanine,1.5441563525419106,0.07513257577897123,14.912451081559938,13.897407172877196,0.6761931820107411,134.21205973403946,0.01383677919929821,0.0032266428423940586,0.02485325553030252
Threonic acid_X_HILICNeg,Threonic acid,3.4273103047688673,0.09261581313281991,17.44961335805563,13.70924121907547,0.37046325253127965,69.79845343222252,0.013780904222267538,0.002500479953016795,0.03145247381649483
