MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Filled_area,runDate,type,SampID,replicate,Column,Date,Adjusted_Area,Run.Cmpd
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,20474690,200821,Smp,20ppt3C,A,HILICPos,200821,18455878.330768712,200821_Smp_20ppt3C_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,22122966,200821,Smp,20ppt3C,B,HILICPos,200821,20815843.113727264,200821_Smp_20ppt3C_B (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,18392656,200821,Smp,20ppt3C,C,HILICPos,200821,15698294.773987897,200821_Smp_20ppt3C_C (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,23091934,200821,Smp,35ppt0C,A,HILICPos,200821,21118766.698068846,200821_Smp_35ppt0C_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,19169482,200821,Smp,35ppt0C,B,HILICPos,200821,18708590.420767546,200821_Smp_35ppt0C_B (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,27378884,200821,Smp,35ppt0C,C,HILICPos,200821,27368764.25201926,200821_Smp_35ppt0C_C (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,9168070,200821,Smp,50ppt-3C,A,HILICPos,200821,9168555.991236534,200821_Smp_50ppt-3C_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,11038651,200821,Smp,50ppt-3C,B,HILICPos,200821,10552998.231554743,200821_Smp_50ppt-3C_B (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,13918690,200821,Smp,50ppt-3C,C,HILICPos,200821,16736068.106569387,200821_Smp_50ppt-3C_C (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,34569484,200821,Smp,Ev15SW,A,HILICPos,200821,37645423.43559582,200821_Smp_Ev15SW_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,154252384,200821,Smp,Ev32Core,A,HILICPos,200821,205520239.4758707,200821_Smp_Ev32Core_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,88588168,200821,Smp,Ev32Core,B,HILICPos,200821,95068815.64176816,200821_Smp_Ev32Core_B (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,42811872,200821,Smp,Ev32Core,C,HILICPos,200821,41756609.04232943,200821_Smp_Ev32Core_C (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,98483328,200821,Smp,Ev37Core,A,HILICPos,200821,179244515.2950938,200821_Smp_Ev37Core_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,107913272,200821,Smp,Ev51Slush,A,HILICPos,200821,162616866.42576906,200821_Smp_Ev51Slush_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,114313736,200821,Smp,EvXCore,A,HILICPos,200821,138816489.72512794,200821_Smp_EvXCore_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,9517615,200821,Smp,EvXSW,A,HILICPos,200821,8901843.988315426,200821_Smp_EvXSW_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,5800090,200821,Smp,Hero1,A,HILICPos,200821,5674053.515634709,200821_Smp_Hero1_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,16732404,200821,Smp,Hero1,B,HILICPos,200821,15292272.58648027,200821_Smp_Hero1_B (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,16009430,200821,Smp,Hero1,C,HILICPos,200821,14781618.75809842,200821_Smp_Hero1_C (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,40279356,200821,Smp,StaB1,A,HILICPos,200821,38091920.98759145,200821_Smp_StaB1_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,29548140,200821,Smp,StaB1,B,HILICPos,200821,31547481.584292345,200821_Smp_StaB1_B (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,51546416,200821,Smp,StaB1,C,HILICPos,200821,45566193.38259345,200821_Smp_StaB1_C (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,19401612,200821,Smp,StaB1,D,HILICPos,200821,17175042.40739986,200821_Smp_StaB1_D (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,26581476,200821,Smp,StaB1,E,HILICPos,200821,23218597.701224938,200821_Smp_StaB1_E (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,35951692,200821,Smp,StaB2,A,HILICPos,200821,42213711.26693884,200821_Smp_StaB2_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,40238956,200821,Smp,StaB2,B,HILICPos,200821,32730268.109783508,200821_Smp_StaB2_B (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,34645272,200821,Smp,StaB2,C,HILICPos,200821,31883931.34743345,200821_Smp_StaB2_C (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,39933592,200821,Smp,StaB3,A,HILICPos,200821,40694513.22546942,200821_Smp_StaB3_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,30469848,200821,Smp,StaB3,B,HILICPos,200821,30426347.030461147,200821_Smp_StaB3_B (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,38513892,200821,Smp,StaB3,C,HILICPos,200821,37431417.056439534,200821_Smp_StaB3_C (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,34652644,200821,Smp,StaB4,A,HILICPos,200821,30574326.7110359,200821_Smp_StaB4_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,31904084,200821,Smp,StaB4,B,HILICPos,200821,27318031.771646466,200821_Smp_StaB4_B (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,38846780,200821,Smp,StaB4,C,HILICPos,200821,40964855.246943,200821_Smp_StaB4_C (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,23290008,200821,Smp,StaB5,A,HILICPos,200821,25858284.485498406,200821_Smp_StaB5_A (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,36420632,200821,Smp,StaB5,B,HILICPos,200821,43020237.81783476,200821_Smp_StaB5_B (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,43012804,200821,Smp,StaB5,C,HILICPos,200821,37301818.84332064,200821_Smp_StaB5_C (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,39592016,200821,Poo,TruePooAnt18,Full1,HILICPos,200821,39211600.65946808,200821_Poo_TruePooAnt18_Full1 (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,39798124,200821,Poo,TruePooAnt18,Full2,HILICPos,200821,40305942.5942581,200821_Poo_TruePooAnt18_Full2 (3-Carboxypropyl)trimethylammonium (TMAB)
(3-Carboxypropyl)trimethylammonium (TMAB),"Betaine, 13C5-15N",0.12515456788532978,0.06339744803195506,36628288,200821,Poo,TruePooAnt18,Full3,HILICPos,200821,35372608.67874149,200821_Poo_TruePooAnt18_Full3 (3-Carboxypropyl)trimethylammonium (TMAB)
